Website,Category,PII_Observable
https://www.alexandrahospital.on.ca/,Medical Clinic,Yes
https://aghospital.on.ca/,Medical Clinic,Yes
https://www.baycrest.org/,Medical Clinic,Yes
https://www.blancheriverhealth.ca/,Medical Clinic,Not Testable
https://www.bluewaterhealth.ca/contact-bluewater-health,Medical Clinic,Yes
https://www.williamoslerhs.ca/en/index.aspx,Medical Clinic,Yes
https://www.bchsys.org/en/index.aspx,Medical Clinic,Not Testable
https://www.brockvillegeneralhospital.ca/en/index.aspx,Medical Clinic,Yes
https://www.cmh.org/,Medical Clinic,Yes
https://cmh.ca/,Medical Clinic,Not Testable
https://www.canada.ca/en/department-national-defence/services/benefits-military/health-support/medical-dental-centers.html,Medical Clinic,Not Testable
https://www.chpca.ca/listing/englehart-district-hospital/,Medical Clinic,Yes
https://www.cghsfoundation.com/,Medical Clinic,Not Testable
https://www.ckha.on.ca/,Medical Clinic,Not Testable
https://www.cheo.on.ca/en/index.aspx,Medical Clinic,Not Testable
https://cgmh.on.ca/,Medical Clinic,Not Testable
https://www.cornwallhospital.ca/,Medical Clinic,No
https://www.drhc.on.ca/,Medical Clinic,Not Testable
https://www.durhamfoundation.ca/,Medical Clinic,Yes
https://espanolaregionalhospital.ca/,Medical Clinic,Not Testable
https://gbgh.on.ca/,Medical Clinic,Not Testable
http://www.geraldtondh.com/,Medical Clinic,Not Testable
https://gmch.whca.ca/,Medical Clinic,Not Testable
https://www.gghorg.ca/,Medical Clinic,Not Testable
https://www.hwmh.ca/,Medical Clinic,Not Testable
https://www.hhhs.ca/,Medical Clinic,Not Testable
https://www.haltonhealthcare.on.ca/locations/oakville-trafalgar-memorial-hospital,Medical Clinic,Not Testable
https://www.hamiltonhealthsciences.ca/,Medical Clinic,Not Testable
https://www.hanoverhospital.on.ca/,Medical Clinic,Yes
https://www.headwatershealth.ca/,Medical Clinic,Not Testable
https://hsnsudbury.ca/en,Medical Clinic,Not Testable
https://www.northwesthealthline.ca/index.aspx,Medical Clinic,Not Testable
https://www.hoteldieushaver.org/site/home,Medical Clinic,Yes
https://www.hdgh.org/,Medical Clinic,Not Testable
https://www.hrh.ca/,Medical Clinic,Yes
https://www.huronhealthsystem.ca/,Medical Clinic,Not Testable
https://www.josephbranthospital.ca/,Medical Clinic,Yes
https://kingstonhsc.ca/,Medical Clinic,Not Testable
http://www.lwdh.on.ca/,Medical Clinic,Not Testable
https://www.lakeridgehealth.on.ca/en/index.asp,Medical Clinic,Yes
https://web.lacgh.napanee.on.ca/,Medical Clinic,Yes
https://lwha.ca/,Medical Clinic,Yes
https://www.lhsc.on.ca/,Medical Clinic,Not Testable
https://www.mackenziehealth.ca/,Medical Clinic,Yes
https://www.mhc.on.ca/,Medical Clinic,Yes
https://matthewsmha.ca/,Medical Clinic,Yes
https://mhfoundation.ca/,Medical Clinic,Yes
https://www.tehn.ca/,Medical Clinic,Not Testable
https://mdhf.ca/,Medical Clinic,Yes
https://www.mrha.ca/,Medical Clinic,Not Testable
https://hopitalmontfort.com/en,Medical Clinic,Not Testable
https://www.mahc.ca/,Medical Clinic,Not Testable
https://www.niagarahealth.on.ca/site/home,Medical Clinic,Not Testable
http://www.ndmh.ca/,Medical Clinic,Not Testable
https://www.ngh.on.ca/,Medical Clinic,Yes
https://nbrhc.on.ca/,Medical Clinic,Not Testable
https://www.nosh.ca/,Medical Clinic,Yes
https://www.nygh.on.ca/,Medical Clinic,Not Testable
https://nhh.ca/,Medical Clinic,Not Testable
https://www.oakvalleyhealth.ca/,Medical Clinic,Yes
https://www.ontario.ca/page/ministry-health,Medical Clinic,Not Testable
https://www.williamoslerhs.ca/en/visiting-us/peel-memorial-centre-for-integrated-health-and-wellness.aspx,Medical Clinic,Not Testable
https://www.pembrokeregionalhospital.ca/,Medical Clinic,Not Testable
https://www.psfdh.on.ca/,Medical Clinic,No
https://www.prhc.on.ca/,Medical Clinic,Not Testable
https://providencecare.ca/,Medical Clinic,Not Testable
https://www.qch.on.ca/,Medical Clinic,No
https://quintehealth.ca/hospital/belleville-general-hospital/,Medical Clinic,"Yes. Goes to a third-party website, which caught by extension"
https://www.redlakehospital.ca/,Medical Clinic,Not Testable
https://www.renfrewhosp.com/,Medical Clinic,Not Testable
https://rmh.org/,Medical Clinic,Not Testable
https://www.rvh.on.ca/,Medical Clinic,Not Testable
https://www.mh.on.ca/,Medical Clinic,No
https://sah.on.ca/,Medical Clinic,Not Testable
https://www.shn.ca/,Medical Clinic,Yes
https://www.senhosp.ca/,Medical Clinic,Yes
https://shouldice.com/,Medical Clinic,Yes
https://www.sickkids.ca/,Medical Clinic,Yes
https://www.sinaihealth.ca/our-hospitals/mount-sinai-hospital,Medical Clinic,Yes
https://www.osmh.on.ca/,Medical Clinic,Not Testable
https://www.sbghc.on.ca/,Medical Clinic,Not Testable
https://southlake.ca/,Medical Clinic,Yes
https://www.sfmhosp.com/,Medical Clinic,Not Testable
https://www.sjhc.london.on.ca/,Medical Clinic,Not Testable
https://www.sjhcg.ca/,Medical Clinic,Not Testable
https://www.stjoes.ca/about/our-locations/charlton-campus,Medical Clinic,Not Testable
https://www.stegh.on.ca/,Medical Clinic,Yes
https://www.stevensonhospital.ca/,Medical Clinic,No
https://sunnybrook.ca/content/?page=st-johns-rehab,Medical Clinic,Not Testable
https://taddlecreekfht.ca/location/the-scarborough-hospital-grace-campus/,Medical Clinic,Not Testable
https://www.temiskaming-hospital.com/,Medical Clinic,Not Testable
https://louisemarshallfoundation.ca/,Medical Clinic,Yes
https://www.ottawahospital.on.ca/en/,Medical Clinic,Not Testable
https://www.theroyal.ca/,Medical Clinic,Not Testable
https://tbrhsc.net/,Medical Clinic,Not Testable
https://tadh.com/,Medical Clinic,Not Testable
https://www.torontograce.org/,Medical Clinic,Yes
https://www.thp.ca/Pages/Home.aspx,Medical Clinic,Not Testable
https://www.uhn.ca/TorontoRehab,Medical Clinic,Not Testable
https://unityhealth.to/locations/st-michaels-hospital/,Medical Clinic,Not Testable
https://www.uhn.ca/OurHospitals/PrincessMargaret,Medical Clinic,Not Testable
https://www.ottawaheart.ca/,Medical Clinic,Not Testable
https://www.grhosp.on.ca/,Medical Clinic,Not Testable
https://www.smgh.ca/,Medical Clinic,Not Testable
https://www.waha.ca/,Medical Clinic,Not Testable
https://nwhc.whca.ca/,Medical Clinic,Yes
https://www.whgh.ca/,Medical Clinic,Yes
https://www.wpshc.com/#,Medical Clinic,Not Testable
https://www.williamoslerhs.ca/en/visiting-us/etobicoke-general-hospital.aspx,Medical Clinic,Not Testable
https://www.wrh.on.ca/,Medical Clinic,Not Testable
https://www.womenscollegehospital.ca/,Medical Clinic,Not Testable
https://www.woodstockhospital.ca/,Medical Clinic,Yes
https://activapharmacy.ca/,Pharmacy,Yes
https://www.bayshore.ca/,Pharmacy,Yes
https://www.belmontdrugspharmacy.com/,Pharmacy,Yes
https://bentonmedicalclinic.com/,Pharmacy,Yes
https://www.arkellmedical.ca/,Pharmacy,No
https://chancellorswaypharmacy.com/,Pharmacy,Yes
https://www.chironcompounding.com/,Pharmacy,Yes
https://www.eramosapharmacy.ca/,Pharmacy,No
https://greengatemedical.ca/pharmacy/,Pharmacy,Yes
https://guelphmedicalplacepharmacy.com/,Pharmacy,Yes
https://homewoodhealthcentre.com/,Pharmacy,Yes
https://norfolkpharmacyandsurgical.ca/,Pharmacy,Yes
https://primecarepharmacy.ca/,Pharmacy,Yes
https://surreystreetmedical.com/,Pharmacy,Yes
https://ucpharmacy.ca/5197637773,Pharmacy,Yes
https://www.westmountmedicalpharmacy.ca/,Pharmacy,No
https://www.willowpharmacy.ca/,Pharmacy,Yes
